local_id,state_id
45320,7570616534
45669,3619576361
44441,5216004461
44305,4233857848
45285,2321430344
44096,2974784455
44370,5223278867
44364,9544940954
44379,8181872616
43924,5033120793
44098,5797744604
44501,2241936281
46505,8423971841
46009,1516362884
46608,4656759568
46964,1801731475
44569,2933035110
44567,4056317021
46845,9505749341
44311,6688215448
46918,7539176880
44288,7004528796
44057,4367762368
46871,4186165138
44354,5686477402
44442,5461090378
44100,6095810283
44425,5331246142
47002,1021369511
44450,1752378557
44300,1139152230
44299,6362028213
46574,8408089170
44965,7037863762
45718,4161316858
46908,4431208241
46844,7418631587
44294,4453624528
46569,9085132293
46884,5596053355
44097,8736907241
46385,9192672178
44237,2656823398
44552,9933509913
44152,6057701403
44345,1059274023
44384,2216471591
44444,8042314678
44301,6537360745
45520,1963774620
46907,7964042398
44283,6774093887
46883,1764713204
46887,2776957547
44390,8120820183
46848,8184328277
44058,1951771454
44391,3675348303
44429,9311910884
44614,5078854585
44454,6359416637
44296,8483036894
44392,8335840320
46061,1505919216
46461,2602863696
43273,9912504071
43889,9158592532
46899,7906805831
46571,1428225502
46570,9213701793
44397,7192429953
44090,8079163637
45401,7450708138
46514,2157919402
44367,7136618951
44401,7571139412
44402,5253237360
44388,6759916266
44307,9684825006
46846,5223915990
44308,6755663698
43933,5372335348
45662,4743218586
